Order_ID,Order_Date,Region,City,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD-10079,2022-10-01,West,San Antonio,Office Supplies,Chairs,191.49,1,0.3,-27.87
ORD-10080,2022-05-09,South,Dallas,Office Supplies,Tables,1297.39,7,,201.72
ORD-10081,2022-10-18,WEST,Chicago,Office Supplies,Binders,942.48,5,0.1,-62.59
ORD-10082,2022-11-16,east,Phoenix,furniture,Phones,509.73,4,0.0,188.47
ORD-10083,2022-07-05,East,Dallas,Furniture,Storage,,4,0.0,42.54
ORD-10084,2022-02-28,West,Los Angeles,Technology,Binders,480.25,4,0.1,48.51
ORD-10085,2022-01-01,South,Dallas,Technology,Tables,501.27,6,0.1,58.47
ORD-10086,2022-05-11,West,Los Angeles,Office Supplies,Paper,1099.82,8,,35.16
ORD-10087,2022-03-08,east,Chicago,furniture,Paper,963.59,8,0.1,269.77
ORD-10088,2022-10-20,Central,San Jose,Furniture,Paper,1333.07,5,0.3,86.91
ORD-10089,2022-10-12,West,San Antonio,Furniture,Chairs,718.88,6,0.2,7.67
ORD-10090,2022-03-30,West,San Jose,Technology,Machines,197.0,4,0.1,21.54
ORD-10091,2022-04-10,WEST,Los Angeles,Office Supplies,Paper,,9,0.1,-102.3
ORD-10092,2022-07-08,East,Chicago,Technology,Storage,1145.96,8,0.3,341.45
ORD-10093,2022-12-12,east,San Jose,Technology,Phones,850.69,1,0.0,-121.17
ORD-10094,2022-08-29,West,Dallas,Furniture,Accessories,1161.03,2,0.0,274.81
ORD-10095,2022-09-27,east,Los Angeles,furniture,Accessories,750.82,9,,-30.24
ORD-10096,2022-08-07,East,Houston,Furniture,Binders,793.64,8,0.3,-8.38
ORD-10097,2022-06-25,WEST,New York,Technology,Phones,652.76,3,0.2,151.04
ORD-10098,2022-12-07,east,Dallas,Office Supplies,Tables,57.62,8,0.2,25.69
ORD-10099,2022-08-21,East,San Antonio,Office Supplies,Phones,179.68,1,0.3,56.89
ORD-10100,2022-05-31,East,San Jose,furniture,Chairs,66.52,4,0.2,-0.96
ORD-10101,2022-10-04,South,Dallas,furniture,Binders,961.89,3,0.0,-42.69
ORD-10102,2022-08-17,WEST,Houston,furniture,Binders,485.25,6,0.2,179.42
ORD-10103,2022-06-20,WEST,Chicago,Technology,Chairs,772.68,7,0.2,90.03
ORD-10104,2022-08-11,east,Chicago,Technology,Phones,1363.2,4,0.3,-92.38
ORD-10105,2022-08-01,Central,Dallas,furniture,Paper,388.95,7,0.3,142.87
ORD-10106,2022-10-09,South,Houston,Office Supplies,Chairs,627.37,9,0.2,213.09
ORD-10107,2022-02-10,WEST,San Jose,Office Supplies,Paper,1138.22,2,0.1,501.21
ORD-10108,2022-05-02,East,Dallas,Office Supplies,Storage,358.62,3,0.3,141.96
ORD-10109,2022-08-15,WEST,New York,Technology,Chairs,133.93,5,,48.36
ORD-10110,2022-10-21,Central,New York,Furniture,Paper,448.83,3,,-53.17
ORD-10111,2022-03-29,West,Phoenix,Office Supplies,Phones,258.61,8,0.0,-22.59
ORD-10112,2022-09-24,West,Los Angeles,Office Supplies,Paper,1395.95,8,0.2,267.17
ORD-10113,2022-01-29,WEST,Phoenix,Office Supplies,Chairs,1216.02,8,0.1,205.37
ORD-10114,2022-09-04,WEST,San Jose,furniture,Tables,957.44,9,0.0,119.47
ORD-10115,2022-11-12,South,New York,Technology,Accessories,1309.76,4,0.2,115.36
ORD-10116,2022-09-01,WEST,Houston,furniture,Chairs,1209.43,5,0.3,131.5
ORD-10117,2022-03-02,Central,Los Angeles,furniture,Accessories,296.12,5,,56.73
ORD-10118,2022-05-27,WEST,San Jose,Furniture,Chairs,1340.99,8,0.1,-199.48
ORD-10119,2022-06-23,east,Houston,furniture,Phones,818.23,7,,5.26
ORD-10120,2022-10-05,Central,San Jose,Furniture,Storage,1215.01,9,0.3,195.58
ORD-10121,2022-11-30,South,Phoenix,furniture,Storage,1346.22,8,0.2,381.42
ORD-10122,2022-05-22,east,Chicago,Office Supplies,Accessories,490.65,2,0.3,-22.33
ORD-10123,2022-02-13,east,Houston,Technology,Machines,182.88,4,0.3,32.58
ORD-10124,2022-05-24,West,Phoenix,furniture,Machines,357.34,6,,99.58
ORD-10125,2022-12-19,Central,Phoenix,Furniture,Phones,652.12,2,0.1,76.15
ORD-10126,2022-11-29,east,Phoenix,Technology,Paper,1230.66,7,0.3,-164.6
ORD-10127,2022-02-24,South,Chicago,Furniture,Phones,1293.88,3,,154.7
ORD-10128,2022-11-03,West,,Office Supplies,Machines,30.29,3,0.1,0.84
ORD-10129,2022-12-24,east,Dallas,furniture,Phones,775.91,2,0.2,316.41
ORD-10130,2022-06-10,Central,Chicago,Technology,Tables,637.77,8,0.2,-47.98
ORD-10131,2022-10-12,West,Los Angeles,Office Supplies,Binders,348.72,6,0.0,84.21
ORD-10132,2022-11-21,Central,Chicago,furniture,Machines,197.4,1,,-23.37
ORD-10133,2022-07-17,Central,Chicago,furniture,Machines,519.67,1,0.1,61.17
ORD-10134,2022-06-08,Central,Chicago,Furniture,Chairs,1415.51,7,0.3,258.17
ORD-10135,2022-03-21,West,San Jose,Furniture,Phones,498.34,8,0.2,14.34
ORD-10136,2022-01-31,east,Houston,Office Supplies,Phones,787.81,5,0.1,96.94
ORD-10137,2022-04-22,WEST,Chicago,Furniture,Phones,1060.47,5,,-55.0
ORD-10138,2022-02-15,East,Los Angeles,Office Supplies,Storage,558.17,4,0.0,18.13
ORD-10139,2022-12-19,east,San Jose,Office Supplies,Phones,1458.24,6,0.2,324.7
ORD-10140,2022-07-24,West,Phoenix,Office Supplies,Machines,1444.42,6,0.1,44.89
ORD-10141,2022-02-21,East,Houston,Furniture,Chairs,392.64,3,0.1,153.07
ORD-10142,2022-05-18,East,New York,Technology,Paper,755.93,9,0.1,171.63
ORD-10143,2022-03-15,East,San Jose,Office Supplies,Paper,465.3,7,,52.67
ORD-10144,2022-02-10,WEST,Chicago,Technology,Phones,441.56,1,,-55.97
ORD-10145,2022-03-18,South,San Jose,furniture,Chairs,74.59,7,,11.17
ORD-10146,2022-07-06,West,Dallas,Furniture,Tables,922.16,5,0.3,284.82
ORD-10147,2022-02-21,WEST,Dallas,Furniture,Paper,763.96,5,0.1,7.13
ORD-10148,2022-03-28,WEST,San Jose,Technology,Machines,96.19,2,0.2,32.13
ORD-10149,2022-04-19,South,Phoenix,furniture,Binders,432.4,4,,0.47
ORD-10150,2022-08-13,East,Phoenix,furniture,Storage,1364.23,6,,469.63
ORD-10151,2022-09-05,South,Houston,Office Supplies,Chairs,374.55,7,0.1,-37.02
ORD-10152,2022-03-10,South,Dallas,Furniture,Paper,234.44,5,,86.67
ORD-10153,2022-04-30,WEST,New York,furniture,Paper,744.39,9,0.3,111.3
ORD-10154,2022-03-08,West,San Antonio,furniture,Accessories,1478.76,3,0.3,41.29
ORD-10155,2022-03-02,Central,Dallas,Office Supplies,Tables,378.24,1,,3.43
ORD-10156,2022-11-23,South,San Jose,Office Supplies,Binders,1014.76,4,0.1,110.82
ORD-10157,2022-07-10,South,Dallas,Technology,Binders,1147.2,9,0.1,515.59
ORD-10158,2022-07-08,East,Los Angeles,Furniture,Binders,371.7,4,0.1,-6.62
ORD-10159,2022-05-31,East,San Antonio,furniture,Machines,1097.76,2,0.0,-96.68
ORD-10160,2022-10-13,WEST,Phoenix,Technology,Chairs,564.32,5,,113.44
ORD-10161,2022-04-06,East,San Antonio,Furniture,Tables,955.81,3,0.1,136.8
ORD-10162,2022-11-08,east,Dallas,Technology,Phones,957.62,9,0.3,157.55
ORD-10163,2022-11-05,South,Phoenix,Furniture,Accessories,812.95,4,0.2,203.37
ORD-10164,2022-09-20,East,San Antonio,Furniture,Tables,153.63,6,0.2,1.58
ORD-10165,2022-04-07,West,Phoenix,furniture,Tables,1256.25,2,0.1,497.98
ORD-10166,2022-04-23,east,Phoenix,Furniture,Paper,494.75,6,0.2,55.12
ORD-10167,2022-05-05,WEST,Houston,Office Supplies,Tables,296.05,3,0.2,-21.48
ORD-10168,2022-05-12,Central,New York,furniture,Chairs,80.35,9,0.0,23.73
ORD-10169,2022-05-01,South,Phoenix,Office Supplies,Accessories,894.52,2,0.3,210.98
ORD-10170,2022-07-16,South,Los Angeles,Technology,Chairs,1022.8,9,0.3,40.35
ORD-10171,2022-10-21,West,Dallas,Technology,Accessories,44.55,5,0.0,9.93
ORD-10172,2022-05-02,Central,Dallas,Furniture,Accessories,777.9,8,0.0,-14.07
ORD-10173,2022-10-09,Central,Los Angeles,Furniture,Paper,355.21,2,0.2,41.53
ORD-10174,2022-09-17,WEST,Chicago,Office Supplies,Chairs,974.86,6,,379.85
ORD-10175,2022-02-08,WEST,Phoenix,Office Supplies,Accessories,278.06,3,0.2,-19.43
ORD-10176,2022-02-23,east,San Jose,Office Supplies,Tables,1042.59,5,0.0,85.51
ORD-10177,2022-06-10,South,,Technology,Chairs,592.37,8,0.3,203.0
ORD-10178,2022-10-16,East,Phoenix,Office Supplies,Accessories,1406.36,1,0.2,607.12
ORD-10179,2022-07-19,WEST,San Jose,furniture,Machines,,5,,27.35
ORD-10180,2022-10-03,West,San Antonio,furniture,Binders,524.78,3,0.2,80.92
ORD-10181,2022-01-16,West,Phoenix,Technology,Chairs,187.94,4,0.1,36.33
ORD-10182,2022-06-22,West,Phoenix,Office Supplies,Paper,1388.55,2,0.2,568.48
ORD-10183,2022-09-05,WEST,Los Angeles,Office Supplies,Machines,1318.46,9,0.0,481.14
ORD-10184,2022-08-06,WEST,New York,Furniture,Machines,401.75,3,0.3,-19.14
ORD-10185,2022-03-28,West,New York,furniture,Storage,996.78,2,0.3,111.69
ORD-10186,2022-03-23,WEST,Chicago,Technology,Chairs,1229.49,9,0.0,157.87
ORD-10187,2022-03-03,East,Los Angeles,Office Supplies,Machines,841.7,7,0.1,272.25
ORD-10188,2022-10-14,East,Phoenix,Furniture,Chairs,803.88,6,0.0,170.21
ORD-10189,2022-02-11,east,New York,Technology,Chairs,377.94,1,0.2,91.66
ORD-10190,2022-01-12,South,Houston,Technology,Accessories,157.79,5,0.0,70.84
ORD-10191,2022-11-17,East,Houston,furniture,Chairs,1347.88,3,0.0,-141.56
ORD-10192,2022-08-22,east,Houston,Office Supplies,Storage,1352.62,1,0.1,-21.9
ORD-10193,2022-11-25,Central,Phoenix,Technology,Phones,956.99,4,0.2,90.66
ORD-10194,2022-05-11,South,Phoenix,Furniture,Chairs,521.76,2,,30.61
ORD-10195,2022-04-25,East,San Jose,Furniture,Binders,536.83,2,,-73.55
ORD-10196,2022-08-06,Central,Chicago,Technology,Storage,1094.41,3,0.3,-103.9
ORD-10197,2022-05-17,east,Dallas,Furniture,Phones,1347.72,8,0.0,348.48
ORD-10198,2022-04-16,East,Chicago,Technology,Accessories,1332.89,8,0.3,503.29
ORD-10199,2022-06-28,East,Chicago,Furniture,Chairs,1174.22,7,0.1,186.16
ORD-10200,2022-01-16,WEST,San Antonio,Technology,Phones,970.21,6,,168.35
ORD-10201,2022-08-30,Central,Houston,Technology,Binders,144.53,9,0.0,0.44
ORD-10202,2022-11-30,East,Phoenix,Technology,Storage,259.21,4,0.1,80.54
ORD-10203,2022-08-14,West,Houston,Furniture,Storage,1349.86,1,0.1,406.41
ORD-10204,2022-08-30,WEST,Chicago,Technology,Accessories,917.52,8,0.0,186.27
ORD-10205,2022-05-21,WEST,Phoenix,furniture,Accessories,33.61,7,0.1,-0.75
ORD-10206,2022-07-18,East,Los Angeles,Technology,Accessories,170.18,7,0.0,-15.62
ORD-10207,2022-04-22,WEST,San Jose,Office Supplies,Phones,1001.98,3,0.0,-111.68
ORD-10208,2022-05-07,South,New York,Office Supplies,Chairs,27.49,4,0.2,5.65
ORD-10209,2022-01-21,Central,New York,furniture,Tables,,9,0.3,89.02
ORD-10210,2022-05-27,South,Chicago,Technology,Machines,832.13,6,0.1,303.73
ORD-10211,2022-03-30,east,Dallas,Office Supplies,Storage,1044.0,5,0.1,133.81
ORD-10212,2022-10-30,South,Houston,Technology,Tables,984.9,3,0.2,315.72
ORD-10213,2022-07-22,West,Los Angeles,Office Supplies,Paper,351.92,9,0.2,147.15
ORD-10214,2022-03-26,WEST,Phoenix,Furniture,Storage,1074.03,5,0.2,16.22
ORD-10215,2022-06-16,WEST,Dallas,Furniture,Machines,371.13,5,,32.95
ORD-10216,2022-03-13,West,Houston,furniture,Accessories,501.59,4,,205.09
ORD-10217,2022-10-25,WEST,Chicago,furniture,Machines,1124.81,4,,59.55
ORD-10218,2022-01-09,South,Houston,Technology,Chairs,981.46,1,0.0,390.94
ORD-10219,2022-10-08,east,Chicago,furniture,Chairs,1276.85,7,0.1,560.06
ORD-10220,2022-09-15,East,San Antonio,Technology,Storage,993.27,9,0.3,245.42
ORD-10221,2022-10-02,West,New York,Furniture,Phones,861.1,3,0.0,292.89
ORD-10222,2022-08-26,South,Dallas,Furniture,Paper,158.64,2,0.1,47.55
ORD-10223,2022-01-20,South,New York,Office Supplies,Machines,564.22,3,0.1,152.18
ORD-10224,2022-08-21,South,Houston,Technology,Accessories,412.5,1,0.2,14.09
ORD-10225,2022-08-09,East,Los Angeles,Furniture,Chairs,381.1,6,0.2,-44.11
ORD-10226,2022-11-22,Central,Phoenix,Furniture,Paper,1460.06,7,0.0,81.52
ORD-10227,2022-01-17,WEST,Chicago,Technology,Paper,601.78,2,0.2,150.54
ORD-10228,2022-03-30,WEST,Phoenix,Office Supplies,Chairs,1340.23,8,0.1,-118.59
ORD-10229,2022-07-15,east,New York,Office Supplies,Binders,954.09,6,0.2,-136.29
ORD-10230,2022-12-16,Central,San Jose,Office Supplies,Machines,1196.32,4,,-79.18
ORD-10231,2022-03-25,WEST,Los Angeles,Office Supplies,Paper,763.9,5,0.2,213.47
ORD-10232,2022-03-28,east,Los Angeles,Furniture,Chairs,873.82,8,0.1,378.95
ORD-10233,2022-11-03,east,Phoenix,Technology,Binders,748.93,3,0.0,329.41
ORD-10234,2022-12-04,South,New York,Technology,Chairs,308.96,3,0.3,45.23
ORD-10235,2022-06-03,West,San Jose,Furniture,Chairs,1089.23,4,0.2,404.77
ORD-10236,2022-08-16,South,,Furniture,Paper,435.54,1,0.1,127.22
ORD-10237,2022-09-21,East,Houston,Furniture,Phones,55.99,9,0.3,
ORD-10238,2022-08-11,WEST,Los Angeles,furniture,Phones,975.3,8,0.3,188.87
ORD-10239,2022-05-01,east,Los Angeles,Technology,Accessories,282.12,8,,-19.09
ORD-10240,2022-06-22,West,Houston,Technology,Machines,1411.88,6,0.3,582.54
ORD-10241,2022-01-04,WEST,,Technology,Chairs,1431.81,7,0.1,87.57
ORD-10242,2022-12-08,east,Los Angeles,Office Supplies,Machines,1374.0,6,0.1,161.71
ORD-10243,2022-05-08,east,Dallas,Furniture,Accessories,567.83,9,0.2,143.66
ORD-10244,2022-04-20,South,San Jose,Furniture,Accessories,42.88,3,0.2,2.16
ORD-10245,2022-12-21,West,San Antonio,Furniture,Accessories,,3,0.2,3.56
ORD-10246,2022-02-06,West,San Antonio,furniture,Accessories,653.71,3,0.3,149.46
ORD-10247,2022-03-12,WEST,San Antonio,Technology,Storage,1450.65,3,0.3,-195.85
ORD-10248,2022-10-16,east,Chicago,Furniture,Paper,1446.16,9,,408.45
ORD-10249,2022-01-31,West,Dallas,furniture,Paper,1282.45,4,0.2,203.16
ORD-10250,2022-09-25,West,Chicago,Furniture,Storage,455.78,7,0.0,97.29
ORD-10251,2022-01-11,WEST,New York,Office Supplies,Chairs,589.94,9,,135.17
ORD-10252,2022-12-10,South,Houston,Technology,Storage,1279.68,7,0.0,212.72
ORD-10253,2022-11-24,Central,Phoenix,furniture,Chairs,489.04,9,0.3,97.57
ORD-10254,2022-02-01,East,Dallas,Furniture,Phones,270.85,3,,70.49
ORD-10255,2022-02-26,Central,San Jose,Technology,Paper,844.07,4,,254.8
ORD-10256,2022-06-15,West,New York,furniture,Tables,1405.51,8,0.1,402.64
ORD-10257,2022-07-07,east,Phoenix,Technology,Binders,1050.12,6,0.3,390.4
ORD-10258,2022-12-08,East,New York,Technology,Paper,863.69,5,0.3,-31.38
ORD-10259,2022-01-19,East,,Office Supplies,Storage,163.82,4,,14.86
ORD-10260,2022-04-26,east,San Antonio,Technology,Storage,930.21,8,0.3,389.46
ORD-10261,2022-07-03,East,Houston,furniture,Phones,1485.28,1,,130.64
ORD-10262,2022-09-27,east,Chicago,Technology,Storage,227.32,9,0.1,-17.07
ORD-10263,2022-02-02,East,Houston,furniture,Chairs,787.13,1,,130.09
ORD-10264,2022-01-10,WEST,Dallas,Technology,Chairs,1318.51,8,0.3,-111.16
ORD-10265,2022-03-21,WEST,Phoenix,Furniture,Tables,1116.34,4,0.3,-31.58
ORD-10266,2022-07-11,Central,New York,Office Supplies,Tables,1051.58,9,,472.15
ORD-10267,2022-11-16,East,Los Angeles,Furniture,Paper,1059.68,5,,185.25
ORD-10268,2022-07-09,South,Los Angeles,Office Supplies,Tables,552.05,3,,
ORD-10269,2022-03-09,east,Houston,furniture,Chairs,454.52,9,0.2,203.11
ORD-10270,2022-12-14,East,San Antonio,Office Supplies,Machines,1217.85,9,0.3,523.6
ORD-10271,2022-05-05,WEST,San Antonio,Technology,Accessories,1218.97,4,0.3,139.5
ORD-10272,2022-12-02,WEST,Houston,Technology,Accessories,1303.27,4,0.2,8.13
ORD-10273,2022-02-28,east,Chicago,Furniture,Tables,1371.6,8,,484.23
ORD-10274,2022-04-07,South,Los Angeles,Office Supplies,Tables,776.79,2,0.1,217.01
ORD-10275,2022-10-02,East,Chicago,furniture,Chairs,762.24,9,,199.83
ORD-10276,2022-05-29,East,Phoenix,furniture,Phones,1201.48,6,,463.61
ORD-10277,2022-10-05,South,Los Angeles,Technology,Paper,981.95,9,0.2,
ORD-10278,2022-09-22,South,Phoenix,furniture,Storage,1058.91,8,0.3,21.47
ORD-10279,2022-01-09,South,New York,Technology,Paper,1197.77,7,,318.99
ORD-10280,2022-10-10,WEST,Chicago,Technology,Binders,1337.21,1,0.3,44.78
ORD-10281,2022-09-30,east,Houston,Technology,Accessories,520.23,3,0.0,158.95
ORD-10282,2022-10-28,South,Los Angeles,Furniture,Machines,575.86,2,0.3,
ORD-10283,2022-01-08,east,Chicago,Furniture,Accessories,159.09,5,0.1,-16.47
ORD-10284,2022-07-27,Central,Houston,Technology,Chairs,875.85,5,0.1,138.12
ORD-10285,2022-05-05,East,New York,Technology,Paper,73.19,5,,4.1
ORD-10286,2022-05-03,East,Los Angeles,Technology,Machines,709.09,4,0.3,33.43
ORD-10287,2022-02-02,West,Phoenix,furniture,Chairs,823.11,5,,173.97
ORD-10288,2022-01-01,Central,New York,Technology,Binders,444.08,3,0.2,19.27
ORD-10289,2022-07-23,South,San Antonio,Technology,Machines,894.43,1,0.1,282.76
ORD-10290,2022-01-06,South,Houston,Office Supplies,Paper,65.14,5,,-7.0
ORD-10291,2022-10-24,WEST,San Jose,Office Supplies,Machines,75.28,9,0.2,18.54
ORD-10292,2022-01-05,Central,Los Angeles,Office Supplies,Binders,1237.45,9,,415.19
ORD-10293,2022-03-21,South,,Office Supplies,Tables,553.08,4,0.3,140.32
ORD-10294,2022-10-01,West,Dallas,Technology,Paper,208.05,3,0.3,30.86
ORD-10295,2022-06-26,east,Dallas,Office Supplies,Binders,792.92,1,0.3,333.17
ORD-10296,2022-12-04,East,New York,furniture,Storage,1159.59,2,0.3,34.74
ORD-10297,2022-11-17,Central,Los Angeles,furniture,Storage,,8,0.0,-47.01
ORD-10298,2022-12-05,East,Houston,Office Supplies,Accessories,941.88,1,0.2,102.85
ORD-10299,2022-05-16,east,New York,Furniture,Storage,,8,0.2,-19.05
ORD-10300,2022-01-25,Central,Phoenix,furniture,Paper,96.49,7,0.3,40.75
ORD-10301,2022-11-21,east,New York,furniture,Storage,806.4,8,0.0,-19.39
ORD-10302,2022-07-02,South,New York,Office Supplies,Storage,820.14,6,0.3,265.2
ORD-10303,2022-06-17,South,San Jose,Office Supplies,Machines,963.4,9,0.0,303.22
ORD-10304,2022-12-04,South,Phoenix,Technology,Tables,1094.62,3,0.3,-21.19
ORD-10305,2022-06-27,east,San Antonio,furniture,Accessories,1464.26,4,0.1,326.14
ORD-10306,2022-04-05,east,Dallas,Office Supplies,Chairs,784.12,6,0.1,-95.0
ORD-10307,2022-02-02,east,Houston,Office Supplies,Accessories,497.98,8,,69.79
ORD-10308,2022-04-21,East,San Antonio,Technology,Accessories,1196.88,5,0.3,-169.01
ORD-10309,2022-05-26,east,San Antonio,furniture,Accessories,420.83,3,0.2,169.46
ORD-10310,2022-08-19,South,San Antonio,Office Supplies,Binders,669.68,6,,291.75
ORD-10311,2022-09-29,West,Dallas,Technology,Chairs,136.12,4,0.1,-2.26
